dataset,count,method,dimensions,rho.seuclidean
baron-human,logcounts,vasc,96,nan
baron-human,logcounts,vasc,8,0.3067790833272122
baron-human,logcounts,vasc,48,0.16969385136918053
baron-human,logcounts,kpca-cos,4,0.19465049923773475
baron-human,logcounts,kpca-cos,32,0.2182882862890193
baron-human,logcounts,kpca-cos,2,0.13563727334319833
baron-human,logcounts,kpca-cos,16,0.28622320530387374
baron-human,logcounts,kpca-cos,96,-0.1388658420210697
baron-human,logcounts,kpca-cos,8,0.21743564612904204
baron-human,logcounts,kpca-cos,48,0.134887467369777
baron-human,logcounts,pca,4,0.3269011198311142
baron-human,logcounts,pca,32,0.5125356351928586
baron-human,logcounts,pca,2,0.22837522006464744
baron-human,logcounts,pca,16,0.48729502020254045
baron-human,logcounts,pca,96,0.5479569904844944
baron-human,logcounts,pca,8,0.3772100338279779
baron-human,logcounts,pca,48,0.5343861564903818
baron-human,logcounts,pmf,4,0.43510720146926757
baron-human,logcounts,pmf,32,0.48849032770679096
baron-human,logcounts,pmf,2,0.3287256827519424
baron-human,logcounts,pmf,16,0.4594798369245113
baron-human,logcounts,pmf,96,0.5696754051886904
baron-human,logcounts,pmf,8,0.4052389203298389
baron-human,logcounts,pmf,48,0.5283031635075488
baron-human,logcounts,snmf,4,0.22897573592409431
baron-human,logcounts,snmf,32,0.5517695721732621
baron-human,logcounts,snmf,2,0.23053047987281747
baron-human,logcounts,snmf,16,0.4659339488221768
baron-human,logcounts,snmf,96,0.618282046254437
baron-human,logcounts,snmf,8,0.3710940323424853
baron-human,logcounts,snmf,48,0.5646398280940972
baron-human,logcounts,ipca,4,0.3269011220341213
baron-human,logcounts,ipca,32,0.5152047712030502
baron-human,logcounts,ipca,2,0.22837522006650612
baron-human,logcounts,ipca,16,0.48734322871709157
baron-human,logcounts,ipca,96,0.553904854045111
baron-human,logcounts,ipca,8,0.37720888200865343
baron-human,logcounts,ipca,48,0.5363645970756604
baron-human,logcounts,icm,4,0.22279443825466036
baron-human,logcounts,icm,32,0.5752022973587873
baron-human,logcounts,icm,2,0.2306244753847057
baron-human,logcounts,icm,16,0.512650074846852
baron-human,logcounts,icm,96,0.6313213729426564
baron-human,logcounts,icm,8,0.3228256634249605
baron-human,logcounts,icm,48,0.5921342811642416
baron-human,logcounts,ivis,4,0.0806266251846457
baron-human,logcounts,ivis,32,0.12160548354408046
baron-human,logcounts,ivis,2,0.19725934366882644
baron-human,logcounts,ivis,16,0.22069938587560609
baron-human,logcounts,ivis,96,0.15697828959022833
baron-human,logcounts,ivis,8,0.08778516490777602
baron-human,logcounts,ivis,48,0.25936128254400787
baron-mouse,counts,spca,4,-0.11631950404639711
baron-mouse,counts,spca,32,0.33236649880490304
baron-mouse,counts,spca,2,-0.18148304640968768
baron-mouse,counts,spca,16,0.10676940392771182
baron-mouse,counts,spca,96,0.6966013992857765
baron-mouse,counts,spca,8,-0.17295866734509105
baron-mouse,counts,spca,48,0.4623001856167229
baron-mouse,counts,tsvd,4,-0.13512028457140618
baron-mouse,counts,tsvd,32,0.28295461174967634
baron-mouse,counts,tsvd,2,-0.1849291702430177
baron-mouse,counts,tsvd,16,0.08896815864683574
baron-mouse,counts,tsvd,96,0.6678340634763374
baron-mouse,counts,tsvd,8,-0.23543784032159706
baron-mouse,counts,tsvd,48,0.4066122547115395
baron-mouse,counts,spca-batch,4,-0.12010223509513239
baron-mouse,counts,spca-batch,32,-0.13036372588123574
baron-mouse,counts,spca-batch,2,-0.10227569568197396
baron-mouse,counts,spca-batch,16,-0.11175605916359486
baron-mouse,counts,spca-batch,96,0.11038683644870889
baron-mouse,counts,spca-batch,8,-0.06631047751825196
baron-mouse,counts,spca-batch,48,-0.08484877461300452
baron-mouse,counts,zifa,4,0.5456481740683947
baron-mouse,counts,zifa,32,0.8053534092516889
baron-mouse,counts,zifa,2,0.5327937082212598
baron-mouse,counts,zifa,16,0.7394563619301563
baron-mouse,counts,zifa,8,0.6834176408858155
baron-mouse,counts,zifa,48,0.8384105964730445
baron-mouse,counts,tga,4,-0.214051520250164
baron-mouse,counts,tga,32,-0.05328770209869082
baron-mouse,counts,tga,2,-0.11311460402621883
baron-mouse,counts,tga,16,-0.19218968545775436
baron-mouse,counts,tga,96,0.18716552988962043
baron-mouse,counts,tga,8,-0.22760972530520124
baron-mouse,counts,tga,48,0.16604849590783763
baron-mouse,counts,nsnmf,4,0.07563351658084766
baron-mouse,counts,nsnmf,32,0.5611076341865621
baron-mouse,counts,nsnmf,2,0.06405594624307953
baron-mouse,counts,nsnmf,16,0.35468572583512425
baron-mouse,counts,nsnmf,96,0.5340843949042859
baron-mouse,counts,nsnmf,8,0.27600583876762097
baron-mouse,counts,nsnmf,48,0.49838132982666195
baron-mouse,counts,vpac,4,0.2863425474557313
baron-mouse,counts,vpac,32,0.2370618931157465
baron-mouse,counts,vpac,2,0.19336660658240465
baron-mouse,counts,vpac,16,0.13784821114680837
baron-mouse,counts,vpac,96,0.1056592159514206
baron-mouse,counts,vpac,8,0.1723193052794798
baron-mouse,counts,vpac,48,0.17590340796523818
baron-mouse,counts,umap,4,0.13224601112057374
baron-mouse,counts,umap,32,0.2717360434860023
baron-mouse,counts,umap,2,-0.009421765754982717
baron-mouse,counts,umap,16,0.23433446095579066
baron-mouse,counts,umap,96,0.24184503243928773
baron-mouse,counts,umap,8,0.15862325841994945
baron-mouse,counts,umap,48,0.22932471552568853
baron-mouse,counts,kpca-sig,4,nan
baron-mouse,counts,kpca-sig,32,nan
baron-mouse,counts,kpca-sig,2,nan
baron-mouse,counts,kpca-sig,16,nan
baron-mouse,counts,kpca-sig,96,nan
baron-mouse,counts,kpca-sig,8,nan
baron-mouse,counts,kpca-sig,48,nan
baron-mouse,counts,nmf2,4,-0.2339684172916362
baron-mouse,counts,nmf2,32,-0.4135909227648861
baron-mouse,counts,nmf2,2,-0.1838500956418546
baron-mouse,counts,nmf2,16,-0.36019530577688547
baron-mouse,counts,nmf2,96,-0.3963886377263908
baron-mouse,counts,nmf2,8,-0.3887828486974912
baron-mouse,counts,nmf2,48,-0.4098310747050181
