dataset,count,method,dimensions,rho.cosine
baron-human,logcounts,nsnmf,8,0.21535154408320423
baron-human,logcounts,nsnmf,16,0.3894683757502232
baron-human,logcounts,lsnmf,96,-0.0011393377502314907
baron-human,logcounts,lsnmf,48,0.6047054529418018
baron-human,logcounts,lsnmf,32,0.6392002123592544
baron-human,logcounts,lsnmf,2,0.13901099961678962
baron-human,logcounts,lsnmf,4,0.39810798760338634
baron-human,logcounts,lsnmf,8,0.47182359815544955
baron-human,logcounts,lsnmf,16,0.3817021148437874
baron-human,logcounts,bd,96,0.27274288267739394
baron-human,logcounts,bd,48,0.22726496425362594
baron-human,logcounts,bd,32,0.27772237317507825
baron-human,logcounts,bd,2,0.3607468759438356
baron-human,logcounts,bd,4,0.19622157057226125
baron-human,logcounts,bd,8,0.44462052554340287
baron-human,logcounts,bd,16,0.41068355252394234
baron-human,logcounts,fa,96,0.17586284174427858
baron-human,logcounts,fa,48,0.19705829036713113
baron-human,logcounts,fa,32,0.20635479513205732
baron-human,logcounts,fa,2,0.34989737183033565
baron-human,logcounts,fa,4,0.3666939135958513
baron-human,logcounts,fa,8,0.2799159637831051
baron-human,logcounts,fa,16,0.24203228127289358
baron-mouse,counts,zifa,48,0.39507661368944363
baron-mouse,counts,zifa,32,0.4000473041855524
baron-mouse,counts,zifa,2,0.25767018734422886
baron-mouse,counts,zifa,4,0.3940963089332092
baron-mouse,counts,zifa,8,0.38784260786693153
baron-mouse,counts,zifa,16,0.4009547205684969
baron-mouse,counts,vasc,96,0.28043524395148367
baron-mouse,counts,vasc,48,0.3015440078503773
baron-mouse,counts,vasc,32,0.2845251671217541
baron-mouse,counts,vasc,2,0.2619100460265088
baron-mouse,counts,vasc,4,0.2426904972336481
baron-mouse,counts,vasc,8,0.21308695351270066
baron-mouse,counts,vasc,16,0.217108711186771
baron-mouse,counts,lle,96,0.1333183329374907
baron-mouse,counts,lle,48,0.032713614409362185
baron-mouse,counts,lle,32,0.23134404536834755
baron-mouse,counts,lle,2,0.43114949619254006
baron-mouse,counts,lle,4,0.4240295198333635
baron-mouse,counts,lle,8,0.607060819291233
baron-mouse,counts,lle,16,0.16036509162720186
baron-mouse,counts,kpca-cos,96,0.7341934297664641
baron-mouse,counts,kpca-cos,48,0.729505118186406
baron-mouse,counts,kpca-cos,32,0.7242925062393631
baron-mouse,counts,kpca-cos,2,0.5542803898869265
baron-mouse,counts,kpca-cos,4,0.6384011930122779
baron-mouse,counts,kpca-cos,8,0.6845289839700646
baron-mouse,counts,kpca-cos,16,0.7111856036863615
baron-mouse,counts,grp,96,0.8642576057499538
