"","criterion","dataset","bd","fa","fica","grp","icm","ipca","isomap","ivis","kpca.cos","kpca.pol","kpca.rbf","kpca.sig","lda","lle","lsnmf","mctsne","nmf","nmf2","nsnmf","pca","phate","pmf","saucie","snmf","spca","spca.batch","spectral","srp","tsvd","umap","vasc","vpac","zifa"
"149","vrc","lake",0.282273666825693,0.223223473676715,0.231547717359614,0.0250608872597406,0.264136524412141,0.235866127313175,0.201354074910702,0.328769536734179,0.227563696513648,0.166909075015529,0.303825801545088,0.253767034058724,0.241451021813359,0.229222671540902,0.366498252406731,0.402733393491307,0.260594402437352,0.0279223515040059,0.0972497910618153,0.249010710837206,0.535506476760011,0.223888608463766,0.000933918956535548,0.256277159116394,0.255781218457384,0.186911013417865,0.216493605250588,0.182383172014665,0.228064305553481,0.430923382023486,NA,0.205672822013612,NA
"150","vrc","li",0.325299471268672,0.85572836987091,0.906299160423564,0.155996298512787,0.187288598030623,0.114819690865483,0.697354680601777,0.810552455954113,0.682643749529615,0.501527548463209,0.632085873459621,0.315430280353462,0.546054754387373,0.620008740238578,0.847888341658263,0.843103907588392,0.187344975056059,0.0218120078092753,0.101223466266633,0.84969858100321,0.884555836134018,0.130701044248307,0.00282746324494426,0.187288598030623,0.659334230115904,0.689973542191993,0.678411813114979,0.106261726480189,0.890226925690484,0.840120199957999,0.936793646309721,0.1847230816813,0.857132021095142
"154","vrc","muraro",0.328662420747758,0.300009565991363,0.491937849551987,0.376359441604556,0.499144585288381,0.533430029938653,0.640434122992208,0.736444394254558,0.542404765674724,0.223675518734394,0.270342862507764,0.305120585090704,0.312688931174361,0.00400805280932213,0.305229642675432,0.624291219853128,0.318321883348025,0.664163914376659,0.550937429823643,0.582290549105814,0.647294463629426,0.327102409083152,0.00456725987061523,0.312948544411129,0.502186319206569,0.547509156605073,0.629051615753223,0.566512137733707,0.535410740054559,0.900864335004336,0.548301967853728,0.30543812431392,NA
"155","vrc","pollen",0.236498079133128,0.821884182323082,0.550727922681731,0.0478686071435688,0.208334851041958,0.479768752203833,0.738960912129858,0.854829413090766,0.546124895527949,0.778137532814088,0.591145598438624,0.197987271141229,0.32173189648711,0.720742541516096,0.351868240379331,0.872912418666533,0.931002527193494,0.0616004974415935,0.207346207878845,0.529035027351162,0.682879274626561,0.296689064895851,0.00237008252337448,0.849903410573571,0.683932522584642,0.0699471382079911,0.53592127578461,0.173800494637155,0.100144299862221,0.928730096875484,0.920246788297228,0.193447566627908,NA
"156","vrc","romanov",0.493313269899466,0.644065770568217,0.506981077994718,0.278189022737943,0.487178617697795,0.444367460303876,0.371640026105421,0.604560647515379,0.556713370114577,0.274727953659777,0.46488157306353,0.387429955912484,0.351076574379125,0.228223227272151,0.485573727191864,0.53730023681116,0.557475727102576,0.515777784104767,0.435230668960879,0.466598880694984,0.587649823086512,0.501213180695227,-0.00114648030748029,0.48729081036262,0.449467751496144,0.441550267900812,0.479253252127435,0.282012393035207,0.536075438117569,0.543712433316276,0.530278573973686,0.254069397549576,0.606762622930898
"157","vrc","segerstolpe",0.375432547525793,0.36606302076427,0.370628068367488,0.345135366069575,0.372537020232565,0.370682145741561,0.398997100700882,0.401228027511971,0.58305429110549,0.201679321366815,0.338228838301377,0.369946288356831,0.349428344391747,0.380447640748738,0.342239189768843,0.369795159629806,0.370806677750888,0.326325267290852,0.552964246039294,0.370682145741561,0.343762255946886,0.701461945081258,0.00372691837321448,0.371332507030796,0.535295716122473,0.378373272912202,0.386989206118934,0.219500085085634,0.448919271758933,0.379093953521653,0.463114204746494,0.341590471529076,0.368914181942922
"158","vrc","shekhar",0.920426620020888,0.279263016367042,0.852722265725952,0.332898662994666,0.922621631831394,0.281617647365016,0.92246737522682,-0.0224624316150578,0.280405673707742,0.903601247612001,0.133419009805184,0.282305830849241,0.920008416258792,0.927996067722076,0.0303769090185365,0.287310555523912,0.946616656498746,0.300365466297294,0.922530751133417,0.242326632013769,0.280505832595726,0.271591319543166,0.000901157496069337,0.922443667519535,0.281465391764287,0.274186472511775,NA,0.304087309830408,0.911228355931656,0.949420120438017,0.280700171639986,0.259027521162918,0.2794467958282
"159","vrc","tasic-reads",0.200964667362761,0.324338961293786,0.325713212873408,0.0531431652058844,0.200964667362761,0.341503150466357,0.346261055295072,0.0413293575352058,0.351291695323515,0.256643320602757,0.303589468740642,0.104062916933779,0.200312504219105,0.265120003027554,0.353331590636004,0.270542585871449,0.200964667362761,0.0412180472140552,0.0357272734621496,0.398785838865831,0.58254684467907,0.121938867689129,-6.25656738995912e-05,0.200964667362761,0.376387163044994,0.324156039931631,0.546381245581738,0.0732130739363846,0.344243463266558,0.46760611385866,0.425551634600399,0.258291045373796,0.30791741298918
"161","vrc","treutlein",0.501006054591779,0.248615759989798,0.555729628297472,0.0516644070585902,0.599771070504752,0.555729628297472,0.588379740874817,NA,0.714313570814462,0.400530412948025,0.459986788316276,0.678268311755253,0.503074531810352,0.58697383980822,0.654124048337094,0.689422142549708,0.651221797834155,0.41561133376424,0.118920161769659,0.555729628297472,0.697253224620731,0.208962731186187,0.00859503800827699,0.604206137597825,0.592100591740575,0.62353797231792,0.654986875816618,0.0332465226240996,0.673170707490265,0.508152997702693,0.432236208298177,0.538690628153509,NA
"162","vrc","usoskin",0.332735321280284,0.375110704582977,0.31845867101421,0.0435834630794036,0.19912918643403,0.32185350604004,0.325935724206096,0.746483765399664,0.22053242981254,0.210770852224328,0.1685701547295,0.0906968095401189,0.274269569321257,0.347413957263531,0.228724138944249,0.134787935923452,0.200039317195682,0.107292882927764,0.0967106951275183,0.320265144884979,0.820283714474247,0.0648799666470835,-0.000761157932825438,0.169264912376653,0.306856718658438,0.474541691602002,0.294368807672746,0.0792017956452352,0.0884803675676999,0.151027287364921,0.485383845832371,0.350657545680227,0.334001657009116
"163","vrc","xin",0.928326944691154,0.785033833440525,0.984391877331606,0.941958812644337,0.939082587759327,0.984391877331606,0.983045667986744,0.81617204943694,0.997301087602787,0.174001370156041,0.837717994760885,0.901935320264628,0.865007686111243,0.639537643085742,0.911464773847435,0.344718534965505,0.93364332079141,0.596144766886723,0.836702559588531,0.960801501839544,0.758851182479288,0.792581168432333,-0.00833623013493968,0.939082587759327,0.984391877331606,0.879146780571038,0.389981786494888,0.161782603621038,0.879146780571038,0.555656476954726,NA,0.871649755183326,0.833059365255281
"164","vrc","yan",0.716125327122677,0.797758499048488,0.797758499048488,0.48945282507792,0.797758499048488,0.797758499048488,0.691044568871084,NA,0.797758499048488,0.797758499048488,0.797758499048488,0.691131804123425,0.714998599009967,0.745958017678154,0.797758499048488,0.797758499048488,0.797758499048488,0.797758499048488,0.269795840488456,0.797758499048488,0.797758499048488,0.580439496468904,0.000194254656194334,0.797758499048488,0.797758499048488,0.797758499048488,0.815273804152631,0.329931714047232,0.797758499048488,0.711173037646223,0.797758499048488,0.305223189312274,0.797758499048488
"165","vrc","zeisel",0.406314405961571,0.477710011411603,0.459259958944575,0.371415539286351,0.393139270701191,0.494225232740095,0.45996971476777,0.49636928831608,0.506658849751103,0.323528485181717,0.420508345438073,0.269214666850655,0.388948398957047,0.593865010004485,0.399394962053813,0.795853009991262,0.438665168565096,0.383612128645377,0.396329046365998,0.493229437010276,0.787589569654079,0.402418986412934,0.00110452128710032,0.399158143467749,0.499229827070929,0.477716602891818,0.466373623635894,0.00655009014197235,0.452095359396881,0.81703543645415,0.756158667841636,0.282164862775187,0.410318729944006
