,dataset,bd,fa,fica,grp,icm,ipca,isomap,ivis,kpca-cos,kpca-pol,kpca-rbf,lda,lle,lsnmf,mctsne,nmf,nmf2,nsnmf,pca,phate,pmf,saucie,snmf,spca,spca-batch,spectral,srp,tsvd,umap,vasc,vpac,zifa
dbs,campbell,0.03591474306626612,0.022889669277294158,0.01465371894412537,0.0971787742470658,0.02197897240652615,0.016498628192488592,0.026177920566024224,0.18617242524197547,0.16167155446860346,0.0012810345308039177,0.00028931414294496477,0.0700499627347518,0.001182263325837138,0.004958213332708536,0.001736000755680244,0.014031980007479652,0.014123751493889275,0.04883435339416993,0.016465771829175125,0.2452827576678513,0.09406869003273204,0.010250342044576095,0.014065678925416271,0.016535106445334975,0.02446308672906124,,0.013428545419037664,0.014227209010616013,0.3172876762347868,0.02202892912153653,0.3216107704825137,0.022406140742465788
dbs,chen,0.13455395651642418,0.7353785281007447,0.34160835555388097,0.2647041981557326,0.11712546395152633,0.34160835555388097,0.08670178263475989,0.7341792326463619,0.5832964081502087,0.0051807896533528465,0.001074243097075759,0.6272081394087696,0.0793588583124228,0.4258804518689295,0.00025246112931994895,0.3397979833752752,0.34082046693192564,0.5958727121085899,0.34160835555388097,0.5124056314474947,0.4929938784179464,0.012717022217901278,0.3397979833752752,0.34160835555388097,0.122498610832528,0.5880079914518728,0.3367332494768942,0.3397979833752752,0.7626548863965528,0.6165126063251987,0.5069899910862569,0.742954819484597
dbs,darmanis,0.19085334574131285,0.005573049647022494,0.029060632190656417,0.05205614210253248,0.013089413037638078,0.5053370963216609,0.4265610522053983,0.13220349888656374,0.21582162892727924,0.4779500306549375,0.129525018290071,0.4781316778126912,0.2457901442512968,0.2283973170866293,0.011329819459166552,0.27547990497352154,0.2645881847191024,0.1914583427421797,0.5138163314521695,0.7338513589556516,0.24821366113177715,0.016353280087991976,0.13738917561381056,0.5292598859958682,0.12594701621677054,0.3568701614622333,0.2018968140064729,0.4792955100775325,0.2252558694918096,0.6137664036799926,0.6950550515978305,0.0082435316369148
dbs,deng-reads,0.3501463827352985,0.6501704586348128,0.8734122562342884,0.2999106733006715,0.5374507869101388,0.8734122562342883,0.4928575921236503,0.3430159568863295,0.8742119208954876,0.5462567451732883,0.2362645860660901,0.4827648746116751,0.8373799043309132,0.5394237004587503,0.01943061291464524,0.8917997631967942,0.6937368462131572,0.3350704766724649,0.8734122562342884,0.8917997631967942,0.8182844468404609,0.14877780293471266,0.012014823243756523,0.7822200229506838,0.6419219609326519,0.8035049518807517,0.31813727576129314,0.6929657373606487,0.8917997631967942,0.7215021440601767,0.5932091272045777,0.8312007756849293
dbs,deng-rpkms,0.3478040749058485,0.01680860619621913,0.007094755605957554,0.2588801493301256,0.20904119096372567,0.8878415435062542,0.6135602552008698,0.4101632159370737,0.8742119208954874,0.007094755605957554,0.01936647685050057,0.5921495925311558,0.8092086867491897,0.7893964475625089,0.01943061291464524,0.0104973325692028,0.007094755605957554,0.7662282340950748,0.8878415435062542,0.8512319323101748,0.7462715533673654,0.09653122076532193,0.007094755605957554,0.8878415435062542,0.8734122562342884,0.7489542641866559,0.5130051131490979,0.6615014072988963,0.8529421252798554,0.7265889310233296,0.5993505458312655,0.012014823243756523
dbs,fan,0.5561324438526285,0.5186654944880894,0.5386600658751984,0.5337428512365266,0.4732916048059095,0.5454699660666144,0.6004772929873836,,0.6021775392365614,0.05607096844800668,0.3960918915840033,0.5918478191969447,0.4450653293616375,0.5780355653175108,0.039690644676645716,0.5905798460496225,0.4737333785696838,0.5841559110168727,0.5468275092900613,0.5452897651335228,0.5656159263724967,0.5151982851944306,0.6013262142553674,0.5468275092900613,0.5918442908304553,0.6018787916078446,0.5758816023026828,0.4737333785696839,0.5758816023026829,0.39712653653474655,0.6379466968558654,
dbs,goolam,0.4400246115794487,0.6278579811524381,0.4008379944252156,0.36326892884821055,0.29397893344297144,0.4101926614820076,0.4850320883468502,,0.4850747090114616,0.2458365427735685,0.3337351756340577,0.4012430839917777,0.4334578232302727,0.8762086545831678,0.016083217910777558,0.8762086545831678,0.3909436118635462,0.34398162418874795,0.4151070374859974,0.8762086545831678,0.348452618915315,0.2489210229485261,0.8762086545831678,0.415353443688384,0.38379666760762576,0.8762086545831678,0.3425775692298001,0.8760545980978534,0.8762086545831678,,0.5218650697360707,0.4906588128532328
dbs,klein,0.185857724737109,0.8912368850616565,0.6232597595611471,0.2651550064496662,0.1283536245857374,0.6232597595611471,0.8063215156301904,0.6375993788601985,0.7752412011860169,0.0027089200774609297,0.0012745370793802082,0.8785499474261595,0.4094667745886186,0.4844522504981466,0.8249576981194124,0.5876210709186043,0.6594110974718437,0.09309796279188104,0.6232597595611471,0.7538503359759097,0.6444341992926421,0.01730880610737654,0.5839634236383049,0.6232597595611471,0.0011725519929216752,0.7897133461071719,0.08670648558269374,0.5991715969500563,0.8302876625579062,0.441902401537786,0.5252544092782814,0.8377649538294686
dbs,lake,0.052378066178682105,0.001960853943890489,0.06679677309605281,0.08919011204435884,0.0041031587058158025,0.06806885335191115,0.27389993864610623,0.4903866578630072,0.2057149706105243,0.004977440043076861,0.003742319830908579,0.3529704315840477,0.3207155978553128,0.004736220253512908,0.0020923491829955647,0.08146475808242583,0.06905502739266631,0.12275822000842905,0.04130252844643974,0.5373079466493174,0.31907137639174965,0.015667442611691205,0.44868103029525136,0.04124718166909839,0.03953354243978753,0.039220746811406776,0.17595013249778418,0.07069253569888168,0.4866002912572053,,0.6364744422937871,
dbs,li,0.5697768142142973,0.020345521916417173,0.013696041447245516,0.2330514310345507,0.0094645867360814,0.3166060968747535,0.6816256508659347,0.8827377763635954,0.5956522728656916,0.09971443206653896,0.012134824838016716,0.5874499774406194,0.759308388929364,0.7496910571368653,0.02220078474594131,0.016911076213891457,0.06557045892127628,0.2550895062675445,0.3183308378756489,0.8586574500806127,0.35460115836222633,0.08629497070953017,0.03278819222609238,0.3186711270445316,0.7283329680117288,0.6487212602025764,0.04320266745486402,0.04177617695143048,0.8083112767520363,0.8923952195960568,0.7495338846726167,0.8488649669389826
dbs,manno_human,0.2457199649837257,0.4021531741097342,0.01520596837862893,0.18802047204362066,0.008884511075662287,0.21376384338018886,0.23264191756590644,0.38529997857288667,0.33835230626538804,0.0023633097135576705,0.0020075806034135176,0.3347995757908381,0.28974250469229285,0.007937485653367366,0.0010250288030239287,0.3090737732650848,0.30752296922345623,0.2243225693899656,0.21371667712728012,0.4361081601353661,0.3272455581396313,0.02838339462601783,0.01334499623624375,0.21321196704966008,0.2698400227038287,0.2444926129026749,0.17308227004979013,0.2064697408585541,0.2800927901861148,0.4958738374894188,0.4859820764704498,0.3010157513104786
dbs,manno_mouse,0.13459044580463808,0.0015700401701422974,0.06001628239470656,0.16166260100556612,0.006398998127109066,0.06000643025187277,0.2241056540370443,0.01178956056723886,0.3016530511754987,0.010531914212605142,0.0017870923034727579,0.2581583144332801,0.2005357951933447,0.2810160807868688,0.005945069326936915,0.12163502197160725,0.24660000242374336,0.15820151421037806,0.060006430251872786,0.3438954202146688,0.3502480500378688,0.032744374146792404,0.00959737093467815,0.05995621881683625,0.00959737093467815,0.25821091605755114,0.11781589724505598,0.06908070647188823,0.3662620824660381,0.43493673823137996,0.5110949560294293,0.3222131543426829
dbs,marques,0.10129904132483296,0.0019465313183702796,0.24763294889802304,0.09428661131771833,0.0063910554375754035,0.2647097418628656,0.2711028544956066,0.2262314170814429,0.196212075698114,0.022725802802602658,0.0014161760664970155,0.23869347048995584,0.11465852184985133,0.00900807325222265,0.0015468981480750506,0.18445766989403808,0.1974371589488597,0.1033183056054304,0.2646890219709242,0.36497712321778797,0.2256581449414672,0.017549515870016366,0.11092582008292068,0.26728043158600623,0.2575226527514367,0.1495574177178217,0.07208980512370844,0.2593696151695368,0.2903450532236701,0.3600669854428535,0.4042404347623704,0.2509681432156163
dbs,muraro,0.3331428829986443,0.0020116554056583127,0.5407336240904704,0.3087544935882365,0.5320736182583793,0.5485322423983314,0.6924562053604547,0.7466080293962724,0.6606619376203761,0.2879296879910422,0.07436367024727314,0.7773600486262234,0.015191130767639963,0.4243310844744472,0.01705791450789256,0.5444524428203988,0.5437726432945912,0.3213507630036589,0.5485322423983314,0.7485607644664396,0.5078664363039184,0.035870422442993787,0.5436666763830952,0.5510574894562958,0.5435814341420256,0.617151755903974,0.3872912999198135,0.5147955393255648,0.484587209014927,0.572473756415855,0.5743498375271157,
