dataset,count_type,method,dimensions,seconds,memory
TabulaMuris_Heart_10X,counts,nmf,4,2.1295323371887207,612500
TabulaMuris_Heart_10X,counts,nmf,16,7.209624528884888,617368
TabulaMuris_Heart_10X,counts,nmf,32,15.552424669265747,620680
TabulaMuris_Heart_10X,counts,nmf,48,24.719528436660767,626720
TabulaMuris_Heart_10X,counts,nmf,96,68.24613904953003,616676
TabulaMuris_Heart_10X,counts,srp,8,0.051676273345947266,479212
TabulaMuris_Heart_10X,counts,srp,2,0.031023263931274414,479192
TabulaMuris_Heart_10X,counts,srp,4,0.03832864761352539,479336
TabulaMuris_Heart_10X,counts,srp,16,0.08066558837890625,479272
TabulaMuris_Heart_10X,counts,srp,32,0.13511347770690918,479272
TabulaMuris_Heart_10X,counts,srp,48,0.1947190761566162,479000
TabulaMuris_Heart_10X,counts,srp,96,0.3552994728088379,479216
TabulaMuris_Heart_10X,counts,snmf,8,31.680083990097046,524204
TabulaMuris_Heart_10X,counts,snmf,2,9.302834510803223,514940
TabulaMuris_Heart_10X,counts,snmf,4,17.693026781082153,517672
TabulaMuris_Heart_10X,counts,snmf,16,30.433765649795532,537492
TabulaMuris_Heart_10X,counts,snmf,32,115.07973957061768,565888
TabulaMuris_Heart_10X,counts,snmf,48,238.58117294311523,610432
TabulaMuris_Heart_10X,counts,snmf,96,,585648
TabulaMuris_Heart_10X,counts,psmf,8,2146.815320968628,751604
TabulaMuris_Heart_10X,counts,psmf,2,2205.1272933483124,732300
TabulaMuris_Heart_10X,counts,psmf,4,2599.8058276176453,741084
TabulaMuris_Heart_10X,counts,psmf,16,4172.450393676758,775892
TabulaMuris_Heart_10X,counts,psmf,32,5410.945272684097,923464
TabulaMuris_Heart_10X,counts,psmf,48,16378.644713401794,1186784
TabulaMuris_Heart_10X,counts,psmf,96,23448.083594560623,1902812
TabulaMuris_Heart_10X,counts,kpca-pol,8,0.8829724788665771,570272
TabulaMuris_Heart_10X,counts,kpca-pol,2,0.8822247982025146,572128
TabulaMuris_Heart_10X,counts,kpca-pol,4,0.884617805480957,570040
TabulaMuris_Heart_10X,counts,kpca-pol,16,0.918612003326416,574156
TabulaMuris_Heart_10X,counts,kpca-pol,32,0.9014091491699219,570064
TabulaMuris_Heart_10X,counts,kpca-pol,48,0.9107370376586914,574136
TabulaMuris_Heart_10X,counts,kpca-pol,96,0.9925327301025391,572176
TabulaMuris_Heart_10X,counts,ivis,8,247.4600419998169,943016
TabulaMuris_Heart_10X,counts,ivis,2,143.3271508216858,932260
TabulaMuris_Heart_10X,counts,ivis,4,495.015558719635,961932
TabulaMuris_Heart_10X,counts,ivis,16,259.12792682647705,947964
TabulaMuris_Heart_10X,counts,ivis,32,111.70000338554382,932772
TabulaMuris_Heart_10X,counts,ivis,48,273.6467499732971,966544
TabulaMuris_Heart_10X,counts,ivis,96,130.01392197608948,938248
TabulaMuris_Heart_10X,counts,spectral,8,4.670412302017212,447588
TabulaMuris_Heart_10X,counts,spectral,2,4.731343030929565,447408
TabulaMuris_Heart_10X,counts,spectral,4,4.8561670780181885,447668
TabulaMuris_Heart_10X,counts,spectral,16,4.756961107254028,447448
TabulaMuris_Heart_10X,counts,spectral,32,4.723130226135254,447388
TabulaMuris_Heart_10X,counts,spectral,48,5.853719472885132,447444
TabulaMuris_Heart_10X,counts,spectral,96,5.088085174560547,447584
TabulaMuris_Heart_10X,counts,nmf2,8,6.169914245605469,597800
TabulaMuris_Heart_10X,counts,nmf2,2,6.027541875839233,595960
TabulaMuris_Heart_10X,counts,nmf2,4,6.002756357192993,596128
TabulaMuris_Heart_10X,counts,nmf2,16,6.552905082702637,603284
TabulaMuris_Heart_10X,counts,nmf2,32,8.26869821548462,619524
