Dataset,Method,Dimensions,realM,realS,userM,userS,sysM,sysS
campbell,fica,25,39,39.147,351,8.224,1,49.466
campbell,nmf,25,33,53.437,33,37.064,0,48.261
campbell,lda,25,44,13.987,132,25.612,277,41.276
campbell,mctsne,25,186,17.105,290,28.533,9,24.541
campbell,umap,30,101,55.083,99,40.604,1,1.617
campbell,pca,30,10,12.332,9,48.771,0,36.072
campbell,isomap,30,85,14.640,756,54.117,9,42.754
campbell,lle,30,77,51.089,747,58.137,9,55.388
campbell,spectral,30,81,21.604,823,53.666,1,26.787
campbell,mds,30,11,47.168,21,19.466,1,35.240
campbell,fa,30,30,45.617,30,44.682,3,43.021
campbell,fica,30,40,14.726,354,35.614,2,41.608
campbell,nmf,30,36,23.858,36,6.967,0,48.794
campbell,lda,30,45,45.634,131,13.928,296,22.499
campbell,mctsne,30,23,40.273,134,46.083,2,0.150
campbell,umap,35,104,47.999,100,59.868,1,0.425
campbell,pca,35,10,22.459,9,55.535,0,39.970
campbell,isomap,35,93,55.572,832,56.511,26,53.977
campbell,lle,35,81,27.662,751,40.714,12,11.464
campbell,spectral,35,82,3.028,822,8.445,2,17.655
campbell,mds,35,12,13.196,21,44.463,1,57.057
campbell,fa,35,33,34.374,33,19.517,4,0.276
campbell,fica,35,40,13.359,354,45.689,2,23.834
campbell,nmf,35,40,45.747,40,21.612,0,56.735
campbell,lda,35,46,57.108,140,22.506,300,43.340
campbell,mctsne,35,27,43.401,147,58.281,2,7.789
campbell,umap,40,105,43.900,103,28.500,1,9.428
campbell,pca,40,10,36.245,12,51.969,1,4.613
campbell,isomap,40,84,22.143,752,38.765,8,48.671
campbell,lle,40,78,6.352,752,31.527,9,14.445
campbell,spectral,40,81,5.041,821,18.699,1,27.964
campbell,fa,40,21,49.223,110,57.164,15,13.907
campbell,fica,40,40,4.474,352,28.956,2,38.170
campbell,nmf,40,43,5.743,47,52.512,2,6.365
campbell,lda,40,49,34.518,151,28.790,319,7.887
campbell,mctsne,40,27,50.217,149,14.217,1,49.405
campbell,umap,45,168,29.913,165,5.552,2,28.433
campbell,pca,45,10,6.286,12,12.409,1,1.511
campbell,isomap,45,86,54.886,757,12.193,8,26.482
campbell,lle,45,79,53.494,748,53.826,8,19.005
campbell,spectral,45,82,7.953,822,52.789,2,19.244
campbell,fa,45,21,25.825,109,7.881,15,8.559
campbell,fica,45,40,24.036,352,3.489,2,53.649
campbell,nmf,45,45,43.682,50,25.857,1,56.617
campbell,lda,45,73,4.082,346,55.648,407,42.924
campbell,mctsne,45,28,48.046,150,7.879,1,31.994
campbell,umap,50,102,54.414,100,10.679,1,5.600
campbell,pca,50,10,9.466,12,30.671,1,10.969
campbell,isomap,50,84,51.137,758,34.692,10,44.864
campbell,lle,50,78,25.495,748,7.734,9,34.563
campbell,spectral,50,81,44.474,825,5.827,2,40.437
campbell,mds,50,12,10.186,22,31.215,2,21.125
campbell,fa,50,22,24.564,121,5.395,14,18.739
campbell,fica,50,38,59.514,348,13.012,2,16.503
campbell,nmf,50,23,58.037,156,9.359,21,24.264
campbell,lda,50,74,42.270,343,54.398,427,14.032
campbell,mctsne,50,35,14.772,158,34.750,2,27.686
campbell,umap,60,103,11.447,100,54.813,0,59.718
campbell,pca,60,9,44.658,12,26.008,0,53.847
campbell,isomap,60,84,16.410,751,51.044,10,3.587
campbell,lle,60,77,23.472,748,8.839,9,4.338
campbell,spectral,60,81,5.360,819,49.962,1,21.495
